titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Dunkerque,22.0,3021.0,4.1,4.3
Baby Driver,20.0,980.0,3.7,4.1
Spider-Man: Homecoming,23.0,3708.0,3.7,3.5
The Circle,16.0,907.0,2.6,2.9
Sales Gosses,6.0,174.0,2.7,2.4
Moi- Moche et Méchant trois,26.0,1630.0,2.8,3.6
La Colle,11.0,132.0,1.9,3.1
Le Caire Confidentiel,22.0,604.0,3.9,4.0
Mission Pays Basque,5.0,229.0,2.6,3.4
Baywatch - Alerte à Malibu,15.0,2030.0,1.8,3.4
Song To Song,25.0,361.0,2.9,2.4
Transformers: The Last Knight,15.0,2208.0,2.4,2.8
Wonder Woman,18.0,7109.0,3.1,4.1
Ce qui nous lie,31.0,1873.0,3.2,4.0
Le Grand Méchant Renard et autres contes,21.0,412.0,4.0,4.1
On the Milky Road,18.0,110.0,2.4,3.5
Une femme fantastique,20.0,206.0,3.6,3.9
Le Dernier Vice-Roi des Indes,13.0,288.0,2.8,3.9
Les Derniers Parisiens,27.0,242.0,3.5,3.5
Everything- Everything,5.0,453.0,2.0,3.4
Pirates des Caraïbes : la Vengeance de Salazar,18.0,6629.0,2.9,3.8
La Momie,19.0,2813.0,2.3,2.7
Eté 93,20.0,46.0,4.1,3.7
Ghost In The Shell,26.0,4506.0,3.0,3.4
Les Hommes du feu,24.0,451.0,3.2,3.9
The Lost City of Z,33.0,2367.0,4.5,3.8
Visages Villages,28.0,504.0,4.2,4.2
Ozzy- la Grande évasion,9.0,48.0,2.8,2.4
Kong: Skull Island,26.0,4793.0,3.0,3.4
Mon poussin,5.0,382.0,2.0,2.4
Tom Of Finland,16.0,51.0,3.2,3.7
A ceux qui nous ont offensés,18.0,236.0,3.1,2.9
Avant la fin de l'été,16.0,72.0,3.5,3.6
Get Out,26.0,6126.0,4.0,4.0
Lion,31.0,7367.0,3.1,4.5
Un Vent de liberté,13.0,21.0,3.3,3.3
Split,27.0,9060.0,3.7,4.1
La Région sauvage,17.0,54.0,3.2,3.4
De plus belle,12.0,488.0,3.3,3.8
L'Embarras du choix,13.0,890.0,2.8,3.2
Love Hunters,19.0,229.0,3.3,3.8
Chacun sa vie,14.0,515.0,2.1,2.0
Si j'étais un homme,14.0,623.0,3.2,2.2
Baby Boss,18.0,2559.0,3.4,3.6
The Last Girl  Celle qui a tous les dons,23.0,621.0,3.3,3.4
Alibi.com,14.0,6594.0,2.9,4.0
Cherchez la femme,23.0,582.0,3.4,3.6
Life - Origine Inconnue,23.0,4268.0,3.3,3.6
Okja,14.0,1076.0,4.1,4.3
Patients,29.0,3360.0,3.8,4.4
Grand froid,13.0,456.0,3.1,3.1
Miss Sloane,26.0,1449.0,3.2,4.1
Baby Phone,15.0,547.0,2.5,3.3
La Confession,20.0,584.0,3.2,3.7
Logan,26.0,10430.0,3.9,4.2
Fast & Furious 8,21.0,4733.0,3.0,4.1
Rock'n Roll,28.0,4345.0,3.3,2.8
Tu ne tueras point,24.0,7379.0,3.0,4.5
Lucy,17.0,26720.0,2.6,3.0
Hirune Hime- Rêves éveillés,12.0,61.0,3.0,3.2
Fight Club,22.0,66361.0,2.7,4.5
Ava,25.0,418.0,3.5,3.6
Le Manoir,3.0,703.0,2.3,3.0
Les Ex,6.0,520.0,2.2,2.6
Barrage,14.0,8.0,2.4,2.8
xXx : Reactivated,12.0,2046.0,2.3,2.5
Embrasse-moi !,16.0,378.0,2.7,4.1
Monsieur & Madame Adelman,27.0,1414.0,3.4,4.0
Demain Tout Commence,15.0,6362.0,3.2,4.4
Le Roi Arthur: La Légende d'Excalibur,18.0,3244.0,2.8,3.8
Braquage à l'ancienne,19.0,1078.0,3.0,3.5
En Solitaire,17.0,2244.0,3.2,3.6
Marie-Francine,22.0,1274.0,3.1,3.1
Les Gardiens de la Galaxie 2,27.0,7887.0,3.4,4.3
Seuls,21.0,1622.0,3.0,2.6
K.O.,24.0,604.0,2.8,2.8
L'Ascension,14.0,2973.0,3.6,4.1
Free Fire,18.0,225.0,2.8,2.7
Loue-moi !,7.0,246.0,2.7,3.0
Fou d'amour,14.0,123.0,3.4,3.3
Passengers,11.0,8300.0,3.2,3.9
Interstellar,40.0,34528.0,3.8,4.5
A Cure for Life,19.0,2035.0,3.2,3.2
Les Figures de l'ombre,21.0,4308.0,3.3,4.4
Kingsman : Services secrets,24.0,16354.0,3.9,4.3
La Belle et la Bête,23.0,6040.0,3.1,4.1
La La Land,41.0,12028.0,4.4,4.4
Grave,29.0,2229.0,4.1,3.8
Memories of Murder,20.0,3578.0,4.3,4.1
Alien: Covenant,29.0,5350.0,3.2,3.0
Premier Contact,36.0,9649.0,4.1,4.1
RAID Dingue,24.0,3954.0,2.8,3.0
L'Amant Double,28.0,1411.0,3.3,2.9
John Wick 2,11.0,2344.0,3.1,3.8
Silence,35.0,2249.0,3.8,3.5
Your Name,25.0,2702.0,4.0,4.5
Solaris,22.0,3175.0,3.7,2.3
Sex Doll,13.0,96.0,2.5,2.3
Vaiana- la légende du bout du monde,27.0,6258.0,3.6,4.3
It Comes At Night,22.0,845.0,3.6,2.0
Le Vénérable W.,23.0,355.0,4.0,3.9
Sully,38.0,6046.0,3.8,4.1
Chez Nous,31.0,1368.0,3.3,3.3
La Grande Muraille,17.0,3115.0,2.5,3.1
Beauté cachée,13.0,2157.0,1.9,3.9
Tous en scène,28.0,3947.0,3.6,4.2
Il a déjà tes yeux,18.0,2552.0,3.3,3.7
Avant toi,7.0,2849.0,2.9,4.3
Les Schtroumpfs et le village perdu,11.0,645.0,2.7,3.5
Voir du Pays,28.0,348.0,3.5,3.2
Moonlight,38.0,4401.0,4.2,4.0
Les Animaux fantastiques,21.0,12634.0,3.5,4.2
Cinquante Nuances plus sombres,15.0,3792.0,1.5,2.9
Power Rangers,15.0,1995.0,2.4,3.3
Traque à Boston,22.0,999.0,2.8,3.7
Captain Fantastic,32.0,5457.0,3.6,4.4
Suicide Squad,20.0,13382.0,2.0,3.0
Inception,24.0,69006.0,4.1,4.5
xXx,21.0,9298.0,3.4,2.4
Ma Vie De Courgette,30.0,1898.0,4.4,4.4
The Two Faces of January,29.0,1818.0,3.4,3.1
